Hospital overall rating,Mortality national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Median Time Spent in Emergency Department Before Leaving,Median Time Spent in Emergency Department After Doctor Decides to Admit as Inpatient,Median Household Income,% of 25+ with High School Degree or Higher,% of 25+ with Bachelor Degree or Higher,Median Age,%65+,%White,%Black,%Hispanic/Latino
4.0,1.0,-1.0,0.0,0.0,0.0,123.0,103.0,63975.0,87.0,24.2,42.6,17.1,86.7,10.1,10.2
4.0,0.0,0.0,0.0,0.0,1.0,92.0,54.0,45316.0,75.2,15.6,37.5,16.9,82.8,15.3,32.1
3.0,-1.0,0.0,0.0,0.0,0.0,112.0,91.0,38328.0,81.7,21.1,43.3,19.1,68.2,29.5,3.5
,,,,,,99.0,,50239.0,91.9,39.5,50.3,23.9,84.8,2.2,18.2
3.0,0.0,-1.0,1.0,0.0,-1.0,189.0,167.0,93629.0,94.2,42.7,42.5,18.3,88.9,5.0,5.0
2.0,0.0,1.0,-1.0,-1.0,-1.0,146.0,137.0,38332.0,89.4,30.0,30.9,9.2,79.7,11.6,50.0
2.0,0.0,-1.0,-1.0,0.0,-1.0,180.0,114.0,103742.0,97.7,61.6,45.0,19.9,87.8,10.2,2.3
4.0,0.0,1.0,0.0,0.0,1.0,122.0,100.0,66723.0,90.9,29.0,31.7,11.3,53.8,10.5,9.4
3.0,0.0,-1.0,-1.0,0.0,-1.0,168.0,136.0,43927.0,86.2,11.6,37.8,13.8,79.0,19.2,3.7
3.0,0.0,0.0,1.0,,0.0,111.0,119.0,82056.0,94.2,54.4,52.1,26.6,99.5,0.0,3.2
4.0,0.0,0.0,,,0.0,112.0,122.0,39797.0,86.3,13.6,48.6,21.2,99.0,0.9,0.9
3.0,0.0,0.0,-1.0,0.0,-1.0,146.0,137.0,30439.0,74.6,9.8,31.4,10.6,30.3,47.5,36.5
3.0,1.0,-1.0,-1.0,0.0,0.0,186.0,67.0,73321.0,93.1,38.1,36.8,13.4,61.0,32.5,7.0
,,,1.0,,,,,62761.0,90.8,25.5,40.2,18.4,80.4,17.4,4.3
5.0,1.0,1.0,1.0,0.0,0.0,164.0,82.0,79257.0,96.4,44.3,43.7,19.3,89.4,4.2,2.8
5.0,,0.0,1.0,,1.0,,28.0,47917.0,93.0,15.2,43.1,22.2,97.4,0.6,13.4
,,,,,,,,21285.0,76.8,12.2,42.1,22.2,10.7,87.4,1.9
4.0,0.0,-1.0,1.0,,1.0,123.0,5.0,43405.0,87.5,17.6,43.1,24.7,91.1,0.0,2.8
,,,,,,,,15813.0,77.1,7.3,29.2,13.8,3.1,97.4,0.6
3.0,-1.0,1.0,1.0,0.0,1.0,152.0,45.0,47493.0,83.4,19.0,39.2,15.7,75.6,14.3,8.6
3.0,0.0,-1.0,0.0,0.0,1.0,64.0,55.0,34715.0,78.5,11.6,38.3,18.6,66.5,34.2,1.5
,,,,,,,,31113.0,74.7,13.9,35.3,12.8,71.1,15.0,60.5
2.0,0.0,-1.0,-1.0,0.0,-1.0,199.0,148.0,70669.0,96.5,41.3,37.3,13.1,79.1,17.3,4.9
3.0,0.0,0.0,-1.0,1.0,-1.0,153.0,161.0,52813.0,92.4,31.5,37.7,18.2,75.6,23.5,7.6
3.0,0.0,1.0,-1.0,0.0,-1.0,186.0,123.0,61611.0,75.2,22.1,34.6,12.9,62.7,3.6,48.0
3.0,0.0,-1.0,0.0,1.0,1.0,133.0,55.0,46430.0,94.5,63.8,22.9,8.8,82.5,5.5,3.8
,,,,,0.0,103.0,44.0,50761.0,92.6,16.0,39.5,20.4,95.6,2.2,3.2
3.0,0.0,0.0,,0.0,1.0,136.0,61.0,46192.0,90.1,13.6,42.7,18.9,97.0,2.3,0.1
