Hospital overall rating,Mortality national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Median Time Spent in Emergency Department Before Leaving,Median Time Spent in Emergency Department After Doctor Decides to Admit as Inpatient,Median Household Income,% of 25+ with High School Degree or Higher,% of 25+ with Bachelor Degree or Higher,Median Age,%65+,%White,%Black,%Hispanic/Latino
1.0,0.0,0.0,-1.0,0.0,0.0,122.0,81.0,48427.0,82.9,18.7,35.7,14.1,73.8,26.0,1.9
5.0,0.0,1.0,0.0,0.0,1.0,122.0,61.0,67555.0,93.5,28.9,42.3,19.5,96.8,2.7,3.7
2.0,0.0,0.0,-1.0,0.0,0.0,136.0,100.0,45889.0,89.9,17.6,44.6,20.6,98.1,2.2,2.3
,,,,,1.0,100.0,8.0,59625.0,87.6,24.3,43.9,21.3,99.5,0.1,12.0
,,,,,0.0,135.0,56.0,66468.0,94.4,24.9,41.7,16.9,96.4,2.8,3.3
4.0,1.0,1.0,-1.0,0.0,-1.0,197.0,430.0,34016.0,74.3,31.7,35.1,13.4,35.6,32.3,47.9
2.0,0.0,-1.0,-1.0,0.0,0.0,122.0,71.0,48145.0,87.2,18.3,35.4,13.6,79.2,16.8,7.3
3.0,0.0,1.0,-1.0,0.0,0.0,148.0,93.0,45053.0,88.3,20.7,38.1,18.4,85.0,6.3,33.0
4.0,0.0,1.0,0.0,0.0,0.0,173.0,72.0,77847.0,92.0,38.1,43.7,17.9,90.8,7.7,2.5
4.0,0.0,-1.0,0.0,0.0,0.0,174.0,125.0,47427.0,86.5,17.4,40.6,16.1,91.4,9.3,1.5
3.0,0.0,-1.0,1.0,0.0,1.0,138.0,64.0,101357.0,95.2,44.2,46.6,19.9,87.6,7.5,8.2
5.0,0.0,1.0,1.0,,-1.0,117.0,75.0,61563.0,94.0,43.8,56.7,35.4,98.3,0.0,0.7
,,,,,1.0,64.0,,83068.0,94.0,30.1,36.1,16.6,53.8,6.2,5.6
2.0,0.0,-1.0,-1.0,0.0,1.0,125.0,80.0,47074.0,88.1,16.8,37.5,15.6,96.9,2.5,2.7
3.0,0.0,-1.0,0.0,0.0,-1.0,271.0,350.0,65217.0,81.8,27.2,32.1,9.7,56.7,4.7,50.2
2.0,-1.0,0.0,-1.0,0.0,1.0,132.0,57.0,41443.0,73.4,12.2,39.8,13.5,83.8,2.9,11.1
3.0,,,1.0,0.0,0.0,139.0,95.0,70871.0,92.5,33.6,36.2,12.0,69.5,21.7,16.3
2.0,1.0,-1.0,-1.0,0.0,0.0,172.0,102.0,56934.0,91.3,31.0,35.8,12.1,64.0,30.0,16.5
2.0,0.0,-1.0,0.0,0.0,1.0,113.0,56.0,25985.0,78.3,20.8,35.6,17.1,32.6,66.9,1.3
4.0,0.0,1.0,1.0,0.0,1.0,123.0,78.0,38843.0,88.5,24.6,50.9,28.1,92.4,1.7,10.8
5.0,0.0,1.0,,0.0,1.0,96.0,40.0,45783.0,94.1,26.5,52.4,26.9,97.6,0.9,3.4
5.0,0.0,1.0,1.0,0.0,0.0,,63.0,54873.0,95.6,51.8,57.5,34.1,96.6,1.8,3.1
2.0,0.0,1.0,0.0,0.0,-1.0,149.0,219.0,46771.0,93.1,29.3,50.2,27.7,94.8,1.0,9.0
4.0,0.0,1.0,1.0,1.0,0.0,198.0,146.0,70885.0,97.6,60.2,40.5,18.4,90.8,7.3,2.1
,,,,,,,,48235.0,83.4,31.3,36.0,13.3,54.5,42.9,8.6
,,,,,,,35.0,38529.0,82.2,16.5,28.1,6.7,6.3,0.0,1.9
,,0.0,,,,,,83205.0,86.9,14.8,28.3,7.7,16.9,4.4,2.0
,,,,,,,,84968.0,90.7,44.5,35.1,11.9,76.2,4.2,24.8
4.0,0.0,1.0,0.0,0.0,1.0,121.0,48.0,50658.0,95.4,38.6,39.8,19.2,95.9,0.9,2.9
5.0,0.0,1.0,-1.0,0.0,-1.0,218.0,131.0,121219.0,98.7,82.7,42.8,20.9,81.9,4.5,7.7
4.0,,0.0,,0.0,0.0,98.0,111.0,40507.0,82.1,25.9,34.5,12.7,20.1,78.9,2.2
2.0,0.0,-1.0,-1.0,0.0,0.0,122.0,98.0,46125.0,88.8,22.3,41.0,19.5,92.9,4.7,3.9
4.0,0.0,1.0,0.0,0.0,0.0,168.0,68.0,47844.0,88.8,18.9,44.8,21.4,97.3,1.2,3.2
3.0,0.0,-1.0,1.0,,1.0,108.0,43.0,69167.0,95.5,36.3,37.5,17.1,97.1,1.2,3.6
3.0,0.0,1.0,0.0,0.0,0.0,145.0,102.0,53689.0,89.8,20.7,40.2,16.4,96.5,1.5,2.4
4.0,1.0,-1.0,1.0,0.0,0.0,154.0,82.0,95368.0,97.9,86.3,28.6,12.9,77.1,7.4,8.4
3.0,0.0,0.0,,,-1.0,112.0,118.0,47848.0,91.4,18.8,44.0,18.9,90.7,6.8,6.6
3.0,-1.0,1.0,-1.0,0.0,0.0,128.0,120.0,44385.0,87.4,16.9,40.6,19.1,94.0,2.8,10.3
4.0,0.0,0.0,0.0,0.0,0.0,164.0,129.0,129627.0,97.4,65.6,37.7,7.8,65.7,7.0,6.6
4.0,-1.0,1.0,-1.0,0.0,0.0,147.0,116.0,31434.0,88.5,42.3,53.9,25.2,92.6,6.5,46.8
,,,,,1.0,86.0,15.0,37500.0,83.6,18.4,44.2,24.1,89.7,7.4,37.3
,,,,,1.0,72.0,21.0,48699.0,93.6,20.4,53.1,24.2,99.4,0.6,2.4
4.0,0.0,1.0,1.0,0.0,0.0,120.0,73.0,34510.0,77.4,13.9,51.0,26.6,99.4,1.6,1.3
4.0,0.0,1.0,-1.0,0.0,-1.0,189.0,96.0,99078.0,91.8,49.1,41.6,16.2,75.8,3.4,21.8
2.0,0.0,-1.0,1.0,0.0,1.0,120.0,61.0,37933.0,85.6,14.1,42.5,18.8,91.3,10.1,7.7
4.0,0.0,1.0,1.0,,1.0,90.0,47.0,38073.0,91.8,14.5,41.9,20.8,94.9,0.9,0.0
1.0,0.0,-1.0,-1.0,0.0,-1.0,116.0,139.0,43963.0,88.6,24.6,38.8,16.7,54.5,45.3,1.4
3.0,0.0,0.0,0.0,0.0,0.0,187.0,102.0,42615.0,84.3,15.0,41.9,19.2,82.4,15.8,4.0
3.0,0.0,0.0,,0.0,1.0,120.0,59.0,36478.0,85.3,13.5,36.8,17.0,64.6,19.3,3.9
3.0,0.0,1.0,0.0,0.0,1.0,120.0,96.0,146696.0,95.3,64.1,39.8,12.6,62.7,3.4,10.4
2.0,1.0,-1.0,-1.0,0.0,-1.0,140.0,151.0,63891.0,91.4,36.2,36.2,15.0,69.0,19.9,14.2
4.0,1.0,1.0,1.0,-1.0,-1.0,225.0,134.0,138922.0,98.9,83.5,45.7,22.2,81.2,5.3,3.6
3.0,0.0,-1.0,0.0,0.0,-1.0,201.0,170.0,62717.0,94.7,38.2,47.1,22.2,96.5,1.8,2.6
5.0,1.0,1.0,1.0,0.0,-1.0,170.0,188.0,86034.0,98.5,85.4,34.1,11.1,67.2,6.2,7.2
2.0,-1.0,1.0,-1.0,0.0,-1.0,170.0,106.0,54369.0,89.9,27.1,36.4,14.5,91.2,5.7,9.6
,,,,,1.0,,29.0,24700.0,79.7,12.5,44.4,23.5,28.2,71.8,0.0
3.0,0.0,0.0,0.0,0.0,0.0,151.0,71.0,46481.0,87.6,19.0,45.5,22.9,91.8,1.3,7.8
,,,,0.0,,128.0,,39330.0,81.1,19.6,47.4,24.3,79.3,20.9,3.7
3.0,1.0,-1.0,-1.0,0.0,0.0,182.0,62.0,64117.0,85.1,48.3,34.2,9.6,69.0,6.9,32.8
5.0,0.0,1.0,1.0,0.0,0.0,153.0,111.0,87904.0,94.4,66.6,46.4,21.3,84.7,9.7,10.9
3.0,0.0,0.0,0.0,0.0,,159.0,,47674.0,86.2,15.1,40.7,19.8,77.2,2.8,10.8
3.0,0.0,1.0,0.0,0.0,-1.0,160.0,128.0,60962.0,90.3,26.3,37.4,14.9,80.2,16.2,7.9
5.0,0.0,1.0,1.0,0.0,0.0,120.0,105.0,74355.0,92.0,42.4,42.3,20.0,33.4,3.4,7.9
,,,,,0.0,115.0,58.0,52050.0,87.1,11.4,48.7,22.7,93.1,7.7,0.3
3.0,0.0,-1.0,0.0,0.0,-1.0,168.0,171.0,47370.0,85.9,11.3,37.9,15.0,78.3,18.8,6.1
5.0,-1.0,1.0,1.0,1.0,-1.0,197.0,214.0,100909.0,93.1,53.6,44.0,23.5,77.7,16.4,9.9
,,,,0.0,1.0,79.0,44.0,37189.0,83.4,15.1,42.2,17.7,55.2,43.2,1.5
2.0,0.0,-1.0,-1.0,,,,,32081.0,86.1,19.0,37.7,18.3,89.3,2.6,40.1
3.0,0.0,0.0,-1.0,0.0,-1.0,187.0,141.0,63461.0,84.2,20.8,43.1,21.5,78.4,19.5,24.0
,,0.0,,,1.0,125.0,27.0,57179.0,88.0,18.7,38.3,17.6,98.1,1.0,8.4
2.0,-1.0,1.0,0.0,1.0,-1.0,165.0,178.0,41371.0,86.2,18.5,39.7,18.2,92.9,6.8,2.3
3.0,,0.0,,,1.0,70.0,76.0,45948.0,86.8,15.0,46.8,30.8,99.8,0.6,2.8
5.0,1.0,1.0,0.0,0.0,0.0,154.0,121.0,93988.0,93.0,69.2,31.7,5.9,81.6,8.1,21.9
3.0,1.0,1.0,1.0,0.0,1.0,165.0,54.0,37223.0,66.1,10.2,30.9,8.1,65.4,8.9,65.6
2.0,0.0,-1.0,-1.0,0.0,0.0,154.0,119.0,60807.0,93.7,30.7,40.9,18.7,82.5,14.7,8.5
,,,1.0,0.0,0.0,114.0,46.0,40607.0,80.8,12.5,33.4,13.5,82.0,14.4,33.0
3.0,0.0,-1.0,-1.0,0.0,-1.0,126.0,144.0,88593.0,92.1,65.9,36.9,16.1,63.7,5.5,10.7
3.0,0.0,1.0,0.0,0.0,-1.0,166.0,138.0,96755.0,97.5,56.6,46.1,22.2,89.8,5.8,2.6
,,,,,1.0,76.0,28.0,43125.0,76.5,14.8,36.2,14.4,53.5,46.0,0.7
4.0,0.0,1.0,0.0,0.0,1.0,135.0,70.0,92221.0,96.8,44.5,43.0,16.6,97.7,1.4,2.6
3.0,0.0,1.0,1.0,-1.0,0.0,138.0,75.0,54187.0,83.6,25.2,36.0,17.0,92.9,2.7,21.5
3.0,-1.0,1.0,1.0,0.0,0.0,187.0,112.0,78750.0,97.1,63.5,41.2,20.3,91.5,5.4,4.8
4.0,0.0,1.0,1.0,0.0,1.0,76.0,44.0,45951.0,85.9,21.8,44.8,22.4,97.6,0.6,3.3
,,,,,0.0,108.0,48.0,45900.0,91.9,18.9,43.2,23.9,96.6,0.5,2.6
,,0.0,,,1.0,99.0,30.0,36894.0,89.3,18.0,49.1,25.9,99.6,0.1,0.0
3.0,0.0,-1.0,0.0,-1.0,1.0,89.0,58.0,43763.0,81.1,18.0,35.8,16.3,75.8,1.3,26.3
2.0,0.0,0.0,0.0,0.0,0.0,134.0,160.0,62380.0,82.0,25.1,37.7,16.4,81.1,2.6,46.2
5.0,1.0,-1.0,1.0,0.0,-1.0,220.0,206.0,41300.0,84.4,34.8,31.6,9.1,29.3,61.9,12.3
3.0,1.0,-1.0,0.0,0.0,-1.0,163.0,147.0,92707.0,95.5,45.6,40.7,14.8,77.9,4.5,21.3
5.0,0.0,0.0,1.0,0.0,0.0,145.0,64.0,69309.0,94.3,33.8,36.0,13.0,84.5,7.1,8.2
2.0,1.0,-1.0,-1.0,0.0,0.0,145.0,84.0,50783.0,79.0,21.4,40.3,17.9,87.1,7.2,7.4
3.0,0.0,1.0,-1.0,0.0,0.0,151.0,63.0,43014.0,89.1,21.8,37.5,18.5,98.1,1.5,2.9
5.0,0.0,1.0,1.0,0.0,0.0,122.0,129.0,76675.0,95.7,32.6,40.6,14.6,97.6,1.2,2.8
2.0,0.0,-1.0,-1.0,0.0,-1.0,129.0,205.0,74083.0,91.8,23.6,41.2,17.6,22.9,75.5,11.0
,0.0,0.0,,,,,,29643.0,76.8,15.6,40.5,17.6,12.9,86.3,0.1
5.0,0.0,1.0,1.0,0.0,0.0,129.0,92.0,76610.0,78.4,37.5,34.5,10.4,58.3,22.7,36.2
3.0,0.0,1.0,-1.0,0.0,,,81.0,82417.0,88.5,19.8,28.2,6.9,25.4,2.4,4.9
4.0,0.0,1.0,0.0,0.0,-1.0,182.0,121.0,34492.0,81.6,25.6,39.7,17.7,52.0,48.2,3.0
4.0,0.0,0.0,0.0,,0.0,117.0,60.0,59019.0,87.0,21.0,44.7,19.4,94.5,5.4,1.8
4.0,0.0,1.0,1.0,0.0,1.0,116.0,35.0,55764.0,94.1,30.4,38.9,17.9,96.8,2.4,4.6
,,0.0,,,1.0,98.0,16.0,58791.0,90.6,16.8,45.0,20.8,96.3,0.1,7.6
4.0,0.0,0.0,1.0,0.0,0.0,164.0,94.0,77225.0,92.6,28.3,37.8,11.9,70.6,27.5,3.9
2.0,-1.0,1.0,-1.0,0.0,-1.0,136.0,186.0,33690.0,91.7,47.1,20.6,3.9,78.8,19.6,3.6
4.0,0.0,0.0,0.0,0.0,1.0,115.0,68.0,41340.0,91.7,26.1,39.4,18.3,95.7,0.9,4.7
,,,,,,89.0,8.0,46250.0,96.3,14.2,54.2,30.2,96.9,0.0,0.8
,,,,,,95.0,,52955.0,95.0,20.8,49.0,26.9,98.5,0.8,1.4
4.0,0.0,0.0,1.0,0.0,1.0,138.0,71.0,109718.0,97.2,72.8,40.1,10.8,87.8,1.1,6.6
2.0,0.0,-1.0,0.0,0.0,1.0,160.0,87.0,40422.0,85.2,28.2,30.9,13.7,96.7,2.6,1.2
5.0,,1.0,1.0,,1.0,107.0,55.0,50109.0,92.2,22.0,51.2,27.1,98.2,0.6,3.4
3.0,,0.0,,0.0,1.0,127.0,51.0,33576.0,76.1,10.3,38.2,17.6,64.2,35.3,0.4
3.0,0.0,1.0,-1.0,0.0,0.0,136.0,105.0,40445.0,90.1,9.5,36.5,16.5,87.9,17.6,2.8
3.0,-1.0,1.0,0.0,-1.0,0.0,153.0,66.0,33979.0,78.0,17.4,37.6,16.7,56.6,41.5,10.9
,,,,,,,,55414.0,92.7,53.7,33.9,10.3,63.6,32.0,3.8
,,,1.0,,0.0,118.0,51.0,82708.0,94.8,50.1,39.6,19.8,86.1,5.2,11.3
4.0,0.0,1.0,,,1.0,112.0,44.0,48750.0,90.0,19.4,51.3,26.8,95.0,0.9,4.0
2.0,0.0,-1.0,-1.0,-1.0,0.0,118.0,52.0,32679.0,80.6,12.4,37.2,15.8,46.4,52.7,0.5
4.0,0.0,0.0,,,1.0,85.0,31.0,49276.0,92.3,18.4,47.1,22.4,97.8,0.6,1.7
4.0,0.0,1.0,1.0,0.0,1.0,129.0,80.0,57213.0,92.6,32.8,37.7,15.9,89.1,5.0,9.9
4.0,0.0,0.0,1.0,0.0,0.0,174.0,101.0,49480.0,88.6,19.3,31.9,8.5,52.2,39.5,13.0
4.0,0.0,0.0,1.0,0.0,0.0,140.0,104.0,51693.0,87.5,23.0,44.4,24.2,95.3,2.6,8.3
,,0.0,,,1.0,75.0,61.0,47148.0,75.8,15.1,36.9,16.8,68.4,3.0,29.2
2.0,0.0,0.0,0.0,0.0,1.0,145.0,49.0,47270.0,68.9,10.9,29.1,9.6,58.7,6.2,60.7
2.0,1.0,-1.0,0.0,0.0,-1.0,157.0,106.0,,60.0,0.0,51.5,0.0,80.0,0.0,20.0
1.0,0.0,-1.0,0.0,-1.0,-1.0,171.0,110.0,49697.0,73.3,13.0,36.1,15.1,71.4,17.9,48.4
3.0,0.0,-1.0,,0.0,1.0,124.0,52.0,38369.0,80.0,11.3,42.5,20.2,62.7,36.7,4.2
,,,,,0.0,84.0,54.0,30932.0,76.5,17.6,34.9,11.5,73.6,25.2,6.5
5.0,1.0,1.0,0.0,0.0,0.0,147.0,90.0,41736.0,84.5,13.0,41.8,18.4,88.5,12.7,4.0
4.0,0.0,0.0,1.0,0.0,0.0,157.0,108.0,83074.0,94.9,21.6,40.9,15.6,98.8,0.6,1.6
3.0,0.0,-1.0,0.0,0.0,1.0,136.0,91.0,59589.0,90.3,22.4,36.5,14.8,97.0,0.6,4.4
2.0,0.0,-1.0,0.0,-1.0,0.0,140.0,66.0,31045.0,88.4,14.3,44.9,25.1,96.8,2.0,5.5
4.0,0.0,-1.0,1.0,-1.0,0.0,162.0,71.0,38396.0,93.9,52.8,25.1,9.2,87.3,6.8,2.4
3.0,0.0,0.0,0.0,0.0,1.0,113.0,35.0,35551.0,82.4,21.5,38.7,18.0,41.4,58.5,0.6
3.0,,,-1.0,0.0,,,149.0,101259.0,97.6,67.9,40.0,18.9,81.6,2.7,10.7
3.0,-1.0,0.0,1.0,0.0,1.0,109.0,68.0,51083.0,91.4,26.5,36.2,17.0,82.3,4.0,5.7
4.0,1.0,1.0,1.0,0.0,-1.0,190.0,134.0,154046.0,98.5,77.6,48.5,23.7,90.7,2.3,2.5
3.0,0.0,1.0,1.0,0.0,-1.0,142.0,154.0,104987.0,95.5,56.3,40.8,14.2,81.5,10.9,2.6
,,,,,,,,95161.0,95.1,81.3,33.1,11.8,82.0,5.1,11.8
,,,,,,142.0,,56344.0,92.2,18.5,41.0,20.0,97.4,0.8,3.0
,,0.0,,,,,,53923.0,89.9,22.7,41.8,17.1,97.2,0.9,4.2
3.0,1.0,-1.0,0.0,-1.0,-1.0,180.0,124.0,17940.0,81.5,15.8,37.5,9.3,43.7,56.3,2.1
2.0,-1.0,-1.0,-1.0,0.0,1.0,150.0,61.0,63755.0,93.7,32.2,46.2,24.6,96.2,2.4,7.1
2.0,-1.0,1.0,-1.0,-1.0,-1.0,193.0,150.0,61260.0,96.5,57.8,42.6,20.5,73.9,24.4,5.3
5.0,,,1.0,0.0,,,,118289.0,99.0,80.7,41.0,22.2,84.3,1.5,7.9
1.0,0.0,-1.0,-1.0,1.0,-1.0,132.0,162.0,25278.0,69.8,9.6,32.7,11.3,45.7,48.7,26.8
4.0,-1.0,1.0,1.0,0.0,0.0,152.0,99.0,50498.0,93.1,31.1,38.7,18.9,96.3,0.9,4.9
,,,,,,,,38048.0,84.0,31.2,41.6,17.0,70.5,24.0,27.3
,,,,0.0,0.0,110.0,53.0,61420.0,86.8,29.8,45.6,20.8,85.0,11.1,14.0
3.0,0.0,0.0,0.0,,,136.0,,53575.0,90.9,17.0,37.7,13.9,96.3,1.8,15.3
1.0,-1.0,-1.0,-1.0,0.0,1.0,124.0,75.0,37647.0,79.2,16.0,32.7,14.8,56.4,39.7,9.0
2.0,0.0,0.0,,-1.0,0.0,134.0,46.0,30366.0,75.3,20.4,33.8,15.1,20.8,77.8,1.8
5.0,0.0,1.0,1.0,0.0,-1.0,218.0,213.0,86455.0,97.5,72.7,40.0,18.6,87.9,5.4,8.5
5.0,1.0,1.0,1.0,0.0,0.0,212.0,95.0,89792.0,97.2,60.0,39.3,16.4,87.2,4.5,4.3
3.0,0.0,0.0,,0.0,1.0,71.0,50.0,44601.0,86.3,13.9,41.2,22.5,92.7,0.5,6.5
,,,,,,,,37622.0,84.5,14.2,38.9,18.0,92.0,7.5,2.1
1.0,0.0,-1.0,0.0,0.0,-1.0,256.0,373.0,130920.0,97.6,87.2,34.6,13.7,85.1,6.7,11.2
3.0,1.0,-1.0,0.0,0.0,0.0,137.0,80.0,47629.0,80.3,15.7,36.9,15.6,64.6,32.0,13.4
4.0,,,1.0,0.0,,,,33427.0,75.1,10.7,31.0,8.0,32.3,42.7,41.5
,,,,,1.0,80.0,12.0,41724.0,94.4,26.7,45.5,23.4,96.0,0.0,3.1
2.0,0.0,-1.0,1.0,0.0,-1.0,172.0,154.0,22099.0,93.9,59.6,21.6,10.0,70.5,13.5,2.9
2.0,0.0,-1.0,0.0,0.0,-1.0,188.0,121.0,40870.0,75.5,54.1,33.3,13.6,41.0,4.4,5.6
,,,,,,,,62438.0,89.7,21.2,43.3,12.8,99.8,0.2,0.5
4.0,0.0,1.0,-1.0,0.0,-1.0,213.0,65.0,51449.0,74.0,23.2,34.2,14.5,85.4,5.9,34.6
2.0,-1.0,-1.0,-1.0,0.0,1.0,151.0,84.0,39761.0,88.2,17.7,50.7,27.3,86.4,12.5,10.2
5.0,,0.0,1.0,0.0,1.0,90.0,28.0,58060.0,93.0,28.0,42.1,21.1,97.6,0.8,5.2
5.0,1.0,1.0,1.0,0.0,-1.0,196.0,243.0,90960.0,94.5,42.8,36.6,12.0,88.5,8.8,6.3
1.0,-1.0,-1.0,-1.0,0.0,-1.0,160.0,148.0,,,,,,,,
4.0,0.0,-1.0,1.0,,0.0,154.0,62.0,36927.0,90.2,12.2,50.0,24.9,99.0,0.1,2.4
3.0,0.0,1.0,-1.0,0.0,-1.0,172.0,130.0,67043.0,79.6,29.8,32.7,3.7,56.6,37.2,24.3
,,,,,1.0,69.0,52.0,55149.0,92.9,37.9,51.1,27.2,96.6,1.6,7.0
4.0,0.0,0.0,0.0,0.0,1.0,102.0,43.0,105248.0,91.1,50.4,33.7,3.9,51.3,10.0,25.0
4.0,1.0,-1.0,1.0,-1.0,0.0,168.0,91.0,108154.0,96.9,40.6,38.7,11.1,98.0,1.0,6.6
4.0,0.0,1.0,0.0,,0.0,152.0,63.0,53166.0,90.1,28.7,46.1,21.5,97.3,0.4,3.7
4.0,1.0,1.0,0.0,0.0,-1.0,189.0,136.0,27471.0,67.9,13.1,30.5,11.2,43.3,38.9,43.2
2.0,0.0,1.0,-1.0,-1.0,-1.0,235.0,316.0,42500.0,87.1,24.5,39.1,15.7,82.1,4.2,12.4
,,,,,,147.0,61.0,31740.0,81.1,14.2,33.0,13.2,37.4,62.7,1.4
4.0,0.0,0.0,-1.0,0.0,-1.0,168.0,145.0,52875.0,84.2,21.1,36.5,10.0,51.2,46.7,9.0
2.0,1.0,-1.0,-1.0,0.0,0.0,212.0,100.0,32241.0,71.4,15.3,45.7,21.7,94.9,2.1,96.4
2.0,0.0,1.0,-1.0,0.0,-1.0,128.0,171.0,64860.0,84.2,20.8,37.4,15.2,38.9,26.3,31.1
,,,1.0,,0.0,106.0,79.0,46313.0,61.5,25.2,31.6,10.0,77.7,3.8,66.8
5.0,0.0,1.0,1.0,0.0,1.0,125.0,118.0,120533.0,97.2,71.2,36.5,10.3,64.8,3.8,5.8
4.0,0.0,1.0,-1.0,-1.0,0.0,154.0,86.0,41449.0,84.5,15.8,34.8,14.4,81.9,17.6,6.7
,,,,,,,,,100.0,65.4,19.9,0.4,52.5,21.5,6.5
3.0,-1.0,0.0,0.0,1.0,0.0,174.0,87.0,64987.0,93.5,34.6,40.0,17.3,87.2,11.2,3.6
4.0,0.0,1.0,1.0,,,,,55141.0,93.7,23.9,41.9,20.0,96.5,2.6,9.4
3.0,0.0,0.0,,,-1.0,129.0,96.0,31078.0,85.3,17.6,51.3,25.5,99.8,1.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,136.0,70.0,38210.0,78.6,17.8,40.6,18.4,75.8,20.6,9.5
4.0,0.0,1.0,0.0,0.0,0.0,141.0,82.0,46866.0,96.7,49.8,31.0,12.5,92.2,2.6,7.0
,,,,,,166.0,,52083.0,93.1,23.0,49.5,23.7,91.7,1.1,14.9
3.0,0.0,1.0,-1.0,0.0,-1.0,218.0,130.0,65719.0,92.1,33.8,41.4,17.6,83.9,13.0,5.4
2.0,0.0,-1.0,-1.0,0.0,-1.0,159.0,204.0,37924.0,79.3,9.4,49.6,27.8,90.4,2.6,26.2
,,,,,,,,81151.0,88.5,39.0,33.1,8.6,87.3,6.7,30.4
3.0,-1.0,0.0,0.0,0.0,-1.0,156.0,187.0,69371.0,89.5,27.4,45.2,20.7,85.2,14.1,2.2
,,,,,,,,41111.0,88.7,24.3,41.2,23.2,98.0,0.3,2.5
3.0,0.0,-1.0,-1.0,0.0,1.0,154.0,93.0,113138.0,98.8,73.1,50.0,23.4,90.9,3.3,2.4
2.0,0.0,-1.0,-1.0,0.0,1.0,77.0,111.0,60261.0,81.6,35.1,43.9,22.3,16.5,0.8,29.9
,,0.0,,,,,,54338.0,91.9,26.0,44.6,23.6,97.5,0.6,5.7
2.0,0.0,-1.0,-1.0,0.0,-1.0,157.0,158.0,36075.0,56.5,12.1,29.1,7.0,54.4,13.8,65.2
4.0,0.0,1.0,0.0,-1.0,0.0,132.0,56.0,42741.0,82.5,11.8,42.5,18.9,96.8,2.9,1.2
4.0,0.0,-1.0,1.0,0.0,1.0,97.0,63.0,56546.0,91.7,17.0,40.3,17.4,92.4,4.0,12.1
3.0,0.0,-1.0,0.0,0.0,0.0,132.0,97.0,56525.0,95.7,59.5,31.1,10.9,71.7,23.8,4.6
,,0.0,,0.0,,,37.0,53298.0,91.3,19.4,39.5,18.2,80.5,1.9,4.5
,,,,,0.0,105.0,0.0,49265.0,79.3,13.8,42.4,15.2,82.4,6.3,26.5
4.0,0.0,0.0,,,1.0,77.0,51.0,47710.0,84.1,14.9,45.3,21.2,97.8,2.5,0.7
,,,1.0,,,216.0,,53995.0,96.1,41.5,32.3,14.9,71.1,23.8,3.7
5.0,0.0,1.0,1.0,0.0,1.0,116.0,52.0,60020.0,90.4,34.3,50.3,28.1,94.8,0.4,22.4
4.0,0.0,-1.0,1.0,0.0,-1.0,192.0,164.0,98196.0,95.9,52.8,45.1,21.9,95.0,2.3,3.8
3.0,0.0,1.0,-1.0,0.0,-1.0,202.0,486.0,96997.0,93.0,37.9,41.9,14.7,79.8,4.4,20.3
,,,0.0,,,,,52784.0,86.9,28.5,41.0,17.9,81.4,16.4,12.7
2.0,0.0,-1.0,0.0,0.0,0.0,148.0,69.0,53067.0,87.0,21.6,40.7,17.6,91.6,7.3,5.4
,,0.0,,,0.0,118.0,88.0,33964.0,84.7,26.9,51.7,31.0,89.4,1.7,35.1
3.0,1.0,-1.0,-1.0,0.0,0.0,117.0,93.0,60232.0,67.7,15.9,37.5,11.6,30.8,0.9,46.3
3.0,0.0,1.0,-1.0,0.0,-1.0,182.0,157.0,31303.0,80.3,15.1,39.3,17.4,77.9,6.6,46.5
,,,,0.0,0.0,131.0,62.0,37356.0,81.2,12.7,40.6,18.0,39.8,59.2,3.5
3.0,0.0,1.0,0.0,0.0,-1.0,206.0,164.0,35340.0,84.4,29.9,28.6,14.9,78.2,9.7,8.3
,,,1.0,0.0,0.0,118.0,74.0,72670.0,90.9,42.0,49.6,26.2,95.2,0.6,20.4
,,,,,,,,37105.0,80.2,32.2,28.7,7.9,68.6,20.9,13.0
5.0,0.0,1.0,1.0,0.0,0.0,130.0,115.0,51833.0,93.3,44.4,24.4,8.6,89.4,1.0,11.9
5.0,0.0,1.0,0.0,0.0,-1.0,198.0,146.0,39322.0,75.6,30.2,31.0,7.7,56.9,27.2,34.0
4.0,1.0,-1.0,0.0,-1.0,0.0,152.0,115.0,36737.0,86.0,45.7,30.3,9.9,46.0,52.5,1.0
2.0,0.0,-1.0,0.0,0.0,-1.0,164.0,95.0,45446.0,88.9,20.2,44.5,20.1,92.3,5.3,5.8
5.0,0.0,1.0,1.0,0.0,-1.0,175.0,129.0,143903.0,96.5,64.8,40.2,12.9,54.4,2.6,7.5
4.0,1.0,1.0,-1.0,0.0,-1.0,128.0,168.0,86034.0,98.5,85.4,34.1,11.1,67.2,6.2,7.2
,,,1.0,,0.0,106.0,47.0,74540.0,89.8,64.6,30.6,6.0,74.3,15.1,22.8
4.0,0.0,1.0,1.0,0.0,0.0,136.0,78.0,58429.0,84.8,19.0,37.0,12.4,82.8,12.1,6.3
,,,,,1.0,98.0,20.0,61761.0,94.2,36.1,35.9,18.4,95.5,3.3,5.8
4.0,0.0,0.0,,,1.0,91.0,50.0,30180.0,77.7,9.2,36.3,15.8,44.4,50.5,6.8
