player_id,g_y,ab,r_y,h_y,double,triple,hr_y,rbi,sb,bb_y,so_y,hbp_y,sh_y,weight,height,HoF_nomination
aaronha01,143.3913043478261,537.5652173913044,94.52173913043478,163.95652173913044,27.130434782608695,4.260869565217392,32.82608695652174,99.8695652173913,10.434782608695652,60.95652173913044,60.130434782608695,1.391304347826087,0.9130434782608695,180.0,72.0,1.0
aaronto01,62.42857142857143,134.85714285714286,14.571428571428571,30.857142857142858,6.0,0.8571428571428571,1.8571428571428572,13.428571428571429,1.2857142857142858,12.285714285714286,20.714285714285715,0.0,1.2857142857142858,190.0,75.0,0.0
adairje01,77.66666666666667,267.93333333333334,25.2,68.13333333333334,10.866666666666667,1.2666666666666666,3.8,24.4,1.9333333333333333,13.866666666666667,33.266666666666666,1.1333333333333333,2.7333333333333334,175.0,72.0,0.0
adamsbo03,85.4,267.93333333333334,39.4,72.13333333333334,12.533333333333333,3.2666666666666666,2.466666666666667,20.2,4.466666666666667,27.6,29.8,1.1333333333333333,5.2,160.0,70.0,1.0
adcocjo01,115.23529411764706,388.5882352941176,48.411764705882355,107.76470588235294,17.352941176470587,2.0588235294117645,19.764705882352942,66.0,1.1764705882352942,34.94117647058823,62.294117647058826,1.0,3.0588235294117645,210.0,76.0,0.0
ageeto01,86.84615384615384,300.9230769230769,42.92307692307692,76.84615384615384,13.076923076923077,2.076923076923077,10.0,33.30769230769231,12.846153846153847,26.307692307692307,70.61538461538461,2.6153846153846154,1.6153846153846154,195.0,71.0,1.0
aguaylu01,51.63636363636363,100.36363636363636,12.909090909090908,23.636363636363637,3.909090909090909,0.9090909090909091,3.3636363636363638,9.909090909090908,0.6363636363636364,8.545454545454545,20.0,1.8181818181818181,1.2727272727272727,173.0,69.0,0.0
alfoned01,115.84615384615384,414.2307692307692,59.76923076923077,117.84615384615384,21.692307692307693,1.3846153846153846,11.23076923076923,57.23076923076923,4.076923076923077,45.84615384615385,47.46153846153846,3.1538461538461537,2.3846153846153846,210.0,71.0,0.0
alicelu01,103.15384615384616,305.46153846153845,42.38461538461539,79.3076923076923,14.538461538461538,4.076923076923077,3.6153846153846154,32.46153846153846,6.230769230769231,38.46153846153846,48.0,3.6923076923076925,3.769230769230769,165.0,69.0,0.0
allanan01,64.0,185.75,18.125,44.625,6.0,0.5,2.0,17.5,2.875,10.875,27.875,1.125,4.375,220.0,77.0,0.0
allenbe01,87.61538461538461,261.84615384615387,27.46153846153846,62.69230769230769,10.76923076923077,1.6153846153846154,5.615384615384615,27.0,1.0,28.46153846153846,32.61538461538461,0.6153846153846154,1.8461538461538463,175.0,72.0,1.0
allendi01,116.6,422.1333333333333,73.26666666666667,123.2,21.333333333333332,5.266666666666667,23.4,74.6,8.866666666666667,59.6,103.73333333333333,1.0666666666666667,1.2666666666666666,187.0,71.0,1.0
allenet01,60.75,212.75,27.75,64.5,10.5,2.25,1.0,20.75,4.75,10.0,14.75,0.75,5.5,180.0,73.0,0.0
alleyge01,108.63636363636364,357.0,40.18181818181818,90.81818181818181,12.727272727272727,4.0,5.0,31.09090909090909,5.7272727272727275,27.272727272727273,56.54545454545455,2.4545454545454546,5.090909090909091,160.0,70.0,1.0
allisbo01,118.53846153846153,387.0769230769231,62.38461538461539,98.53846153846153,16.615384615384617,4.076923076923077,19.692307692307693,61.23076923076923,6.461538461538462,61.15384615384615,79.46153846153847,2.6153846153846154,1.9230769230769231,205.0,75.0,0.0
almonbi01,72.70588235294117,195.88235294117646,22.941176470588236,49.76470588235294,8.117647058823529,1.4705882352941178,2.1176470588235294,17.41176470588235,7.529411764705882,14.705882352941176,37.411764705882355,0.35294117647058826,2.588235294117647,180.0,75.0,0.0
alomaro01,125.21052631578948,477.5263157894737,79.36842105263158,143.3684210526316,26.526315789473685,4.2105263157894735,11.052631578947368,59.68421052631579,24.94736842105263,54.31578947368421,60.0,2.6315789473684212,7.7894736842105265,184.0,72.0,1.0
alomasa01,82.27777777777777,264.44444444444446,31.0,64.88888888888889,7.0,1.0555555555555556,0.7222222222222222,15.666666666666666,12.61111111111111,16.77777777777778,26.77777777777778,0.16666666666666666,4.277777777777778,140.0,69.0,0.0
alomasa02,62.59090909090909,205.9090909090909,23.636363636363637,56.18181818181818,11.318181818181818,0.45454545454545453,5.090909090909091,26.727272727272727,1.1363636363636365,9.636363636363637,22.681818181818183,1.8636363636363635,2.1818181818181817,200.0,77.0,1.0
aloufe01,109.57894736842105,386.2631578947368,51.8421052631579,110.57894736842105,18.894736842105264,2.5789473684210527,10.842105263157896,44.8421052631579,5.631578947368421,22.263157894736842,37.1578947368421,3.0,1.736842105263158,195.0,72.0,1.0
alouje01,86.25,271.5625,28.0,76.0,10.625,1.625,2.0,23.5625,1.9375,8.625,16.6875,1.875,2.75,190.0,74.0,1.0
aloumo01,107.88888888888889,390.94444444444446,61.611111111111114,118.55555555555556,23.38888888888889,2.1666666666666665,18.444444444444443,71.5,5.888888888888889,40.94444444444444,49.666666666666664,2.6666666666666665,0.5,185.0,75.0,1.0
amalfjo01,64.3,171.5,24.8,41.8,6.7,1.9,0.9,12.3,1.9,18.5,22.4,1.2,1.7,175.0,71.0,0.0
amarari01,72.7,178.8,30.5,49.3,8.2,1.0,1.1,15.9,11.2,17.6,27.7,1.6,2.9,175.0,72.0,0.0
amaroru01,85.45454545454545,195.9090909090909,19.181818181818183,45.90909090909091,6.818181818181818,1.1818181818181819,0.7272727272727273,14.181818181818182,1.0,20.636363636363637,25.454545454545453,0.9090909090909091,4.2727272727272725,170.0,71.0,0.0
